,user_id,email_traffic
106856,,2399880433.30996
13526,33626320676.0,42418782.0
6437,33614892860.0,40788634.0
13180,33625779332.0,40633966.0
106137,33786323068.0,36310123.0
37052,33659725664.0,35999792.0
92923,33760536639.0,33693767.0
76363,33675877202.0,31514421.0
60087,33665460546.0,30417885.0
65118,33667163239.0,30335796.0
