,user_id,google_traffic
106856,,8248576910.545573
13526,33626320676.0,152191852.0
13180,33625779332.0,142307915.0
6437,33614892860.0,127973787.0
92923,33760536639.0,123223099.0
37052,33659725664.0,116516345.0
106137,33786323068.0,110254484.0
76363,33675877202.0,109860502.0
65118,33667163239.0,105032696.0
94654,33761268199.0,97089988.0
